Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Livestock_Wild,Defense,Prey_Notes,Avg_Wolf_Density,Pack_Name,n_Packs,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Wild_Ung_Avail_n,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
,Guimarães 2022,Vepor Mountains,225,Cattle,Bos taurus,Bos taurus,Winter 2015-2017,1724,,,7.664,,,613,,,64,0,0,0,,,0,Livestock,Guard,"grazed extensively on mountains while watched by sheperds and guard dogs from Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22VPM,VPM,6,3,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Sheep,Ovis aries,Ovis aries,Winter 2015-2017,3603,,,16.015,,,34.2,,,64,0,0,0,,,0,Livestock,Guard,"grazed extensively on mountains while watched by sheperds and guard dogs from Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22VPM,VPM,6,3,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Goat,Capra hircus,Capra hircus,Winter 2015-2017,228,,,1.015,,,46.9,,,64,0,0,0,,,0,Livestock,Guard,"grazed extensively on mountains while watched by sheperds and guard dogs from Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22VPM,VPM,6,3,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Red deer,Cervus elaphus,Cervus elaphus,Winter 2015-2017,1271,,,1.306,,,240,,,114,43,37.71929825,36.1,,,0.61,Wild,Antler,,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22MRP,MRP,7,3,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Roe deer,Capreolus capreolus,Capreolus capreolus,Winter 2015-2017,1073,,,1.113,,,22.4,,,114,17,14.9122807,14.3,,,0.037,Wild,None,small and agile. Less negatively affected by snow than wild boar.,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22MRP,MRP,7,3,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Wild boar,Sus scrofa,Sus scrofa,Winter 2015-2017,535,,,0.5499,,,84.5,,,114,57,50,47.9,,,0.335,Wild,Tusk,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22MRP,MRP,7,3,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Cattle,Bos taurus,Bos taurus,Winter 2015-2017,3517,,,5.862,,,613,,,114,0,0,0,,,0,Livestock,Guard,"grazed extensively on mountains while watched by sheperds and guard dogs from Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22MRP,MRP,7,3,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Sheep,Ovis aries,Ovis aries,Winter 2015-2017,7034,,,11.724,,,34.2,,,114,2,1.754385965,1.7,,,0.018,Livestock,Guard,"grazed extensively on mountains while watched by sheperds and guard dogs from Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22MRP,MRP,7,3,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Goat,Capra hircus,Capra hircus,Winter 2015-2017,511,,,0.852,,,46.9,,,114,0,0,0,,,0,Livestock,Guard,"grazed extensively on mountains while watched by sheperds and guard dogs from Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22MRP,MRP,7,3,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Horse,,Equus caballus,Winter 2015-2017,50,,,0.08333333333,,,400,,,114,0,0,0,,,0,Livestock,None,,,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22MRP,MRP,7,3,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Red deer,Cervus elaphus,Cervus elaphus,Winter 2015-2017,201,,,1.447,,,240,,,43,41,95.34883721,89.1,,,0.957,Wild,Antler,,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22PNP,PNP,7,4,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Roe deer,Capreolus capreolus,Capreolus capreolus,Winter 2015-2017,275,,,1.984,,,22.4,,,43,1,2.325581395,2.2,,,0.004,Wild,None,small and agile. Less negatively affected by snow than wild boar.,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22PNP,PNP,7,4,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Wild boar,Sus scrofa,Sus scrofa,Winter 2015-2017,102,,,0.7398,,,84.5,,,43,4,9.302325581,8.7,,,0.039,Wild,Tusk,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22PNP,PNP,7,4,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,European bison,Bison bonasus,Bison bonasus,Winter 2015-2017,40,,,0.32,,,673,,,43,0,0,0,,,0,Wild,Horn,,,,,,P-3-3,CNT,MSP,3,TRAN,MWI,3,GUS22PNP,PNP,7,4,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Cattle,Bos taurus,Bos taurus,Winter 2015-2017,655,,,5.24,,,613,,,43,0,0,0,,,0,Livestock,Guard,"grazed extensively on mountains while watched by sheperds and guard dogs from Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22PNP,PNP,7,4,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Sheep,Ovis aries,Ovis aries,Winter 2015-2017,434,,,3.472,,,34.2,,,43,0,0,0,,,0,Livestock,Guard,"grazed extensively on mountains while watched by sheperds and guard dogs from Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22PNP,PNP,7,4,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Goat,Capra hircus,Capra hircus,Winter 2015-2017,70,,,0.557,,,46.9,,,43,0,0,0,,,0,Livestock,Guard,"grazed extensively on mountains while watched by sheperds and guard dogs from Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,,P-3-3,GSO,MYR,3,TRAN,MWI,3,GUS22PNP,PNP,7,4,2,1,1,POP
"also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Persian gazelle,Gazella subgutturosa,Gazella subgutturosa,July 2007-April 2009,2400,,,2.123893805,27.5,,26.7,58.40707965,0.1088749588,132,41,31,,,,0.27,Wild,Horn,,,,,,P-1-2,GSO,U,1,HOME + T,MYR,2,HOI13GHA,GHA,4,3,3,1,2,POP
"Ovis orientalis and Ovis gmellini aren't in PanTheria database so domestic sheep weight was used. also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Esfahan wild sheep,Ovis orientalis,Ovis aries orientalis,July 2007-April 2009,2400,,,2.123893805,34,,34.2,72.21238938,0.1346090399,132,23,17,,,,0.159,Wild,Horn,,,,,,P-1-2,GSO,U,1,HOME + T,MYR,2,HOI13GHA,GHA,4,3,3,1,2,POP
"Capra aegragus is not in PanTheria so Capra hircus was used. also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Persian wild goat,Capra aegagrus,Capra hircus aegagrus,July 2007-April 2009,100,,,0.08849557522,36.0,,46.9,3.185840708,0.005938634114,132,12,1,,,,0.092,Wild,Horn,,,,,,P-1-2,GSO,U,1,HOME + T,MYR,2,HOI13GHA,GHA,4,3,3,1,2,POP
"also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Domestic sheep and goat,Ovis aries and Capra hircus,Capra hircus and Ovis aries,July 2007-April 2009,13000,,,11.50442478,35,,34.2,402.6548673,0.7505773672,132,60,45,,,,0.471,Livestock,Guarded,"13000 in 30 herds. 65% sheep, the rest goat). Allowed to graze in pastures in the Wildlife Refuge for a 100-day period in winter (January–March), but are not allowed to enter the National Park. Guarded by herd dogs (""similar in size to an adult wolf"") during day. Return to corrals at night",,,,,P-2-2,U,U,2,HOME + T,MYR,2,HOI13GHA,GHA,4,3,3,1,2,POP
,Hovens 2005,Hustai National Park,1200,Horse,,Equus caballus,Nov 1994-Oct 1995,1326,,,,,,400,,,97,19,,16.1,,,,Livestock,None,not tended to - often not seen for weeks at a time. often die over winter due to starvation. keep females and foals close to ger from late june-october so they can milk the females.,,,2-3,,A,FARM,SAU,1,U,SYR,1,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,"Cow, Goat, and Sheep",,"Bos taurus, Capra hircus, & Ovis aries",Nov 1994-Oct 1995,16656,,,,,,231.3666667,,,97,47,,39.8,,,,Livestock,,Sheep and goats tended by sheperd during day and sheep goats and cows spend the night near the sheperds ger.,,,2-3,,A,FARM,SAU,1,U,SYR,1,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,Red deer & Mongolian gazelle,Cervus elaphus & Gazella gutterosa,Cervus elaphus & Procapra gutturosa,Nov 1994-Oct 1995,340,,,,,,69.25,,,97,15,,12.7,,,,Wild,,"""A population of 70–76 Mongolian gazelles (Gazella gutterosa) irregularly inhabited a part of the Tuul valley on the border of the research area. From the end of September until the beginning of May they moved together in one herd, that irregularly visited the Tuul valley..... From the beginning of May until the end of September the Mongolian gazelles lived in small groups and maximally 15 Mongolian gazelles inhabited the Tuul Valley."" Red deer calve around july. red deer more alert after october",,,2-3,,A,CNT,SAU,1,U,SYR,1,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,Horse,,Equus caballus,Nov 1995-Oct 1996,1642,,,,,,400,,,121,64,,42.7,,,,Livestock,None,not tended to - often not seen for weeks at a time. often die over winter due to starvation. keep females and foals close to ger from late june-october so they can milk the females.,,,2-3,,A,FARM,SAU,1,U,SYR,1,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,Sheep,,Ovis aries,Nov 1995-Oct 1996,10824,,,,,,34.2,,,121,25,,16.7,,,,Livestock,Partguard,tended by sheperd during day and spend the night near the sheperds ger.,,,2-3,,A,FARM,SAU,1,U,SYR,1,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,Cow & goat,,Bos taurus & Capra hircus,Nov 1995-Oct 1996,3804,,,,,,329.95,,,121,20,,13.3,,,,Livestock,,goats tended by sheperd during day and both goats and cows spend the night near the sheperds ger.,,,2-3,,A,FARM,SAU,1,U,SYR,1,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,Red deer & Mongolian gazelle,Cervus elaphus & Gazella gutterosa,Cervus elaphus & Procapra gutturosa,Nov 1995-Oct 1996,274,,,,,,69.25,,,121,12,,8,,,,Wild,,"""A population of 70–76 Mongolian gazelles (Gazella gutterosa) irregularly inhabited a part of the Tuul valley on the border of the research area. From the end of September until the beginning of May they moved together in one herd, that irregularly visited the Tuul valley..... From the beginning of May until the end of September the Mongolian gazelles lived in small groups and maximally 15 Mongolian gazelles inhabited the Tuul Valley."" Red deer calve around july. red deer more alert after october",,,2-3,,A,CNT,SAU,1,U,SYR,1,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,Horse,,Equus caballus,Nov 1996-Oct 1997,2321,,,,,,400,,,83,16,,15.5,,,,Livestock,,not tended to - often not seen for weeks at a time. often die over winter due to starvation. keep females and foals close to ger from late june-october so they can milk the females.,,,2-3,,A,FARM,SAU,1,U,SYR,1,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,Sheep,,Ovis aries,Nov 1996-Oct 1997,15696,,,,,,34.2,,,83,4,,3.9,,,,Livestock,Partguard,tended by sheperd during day and spend the night near the sheperds ger.,,,2-3,,A,FARM,SAU,1,U,SYR,1,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,Cow & goat,,Bos taurus & Capra hircus,Nov 1996-Oct 1997,6928,,,,,,329.95,,,83,16,,15.5,,,,Livestock,,goats tended by sheperd during day and both goats and cows spend the night near the sheperds ger.,,,2-3,,A,FARM,SAU,1,U,SYR,1,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,Red deer & Mongolian gazelle,Cervus elaphus & Gazella gutterosa,Cervus elaphus & Procapra gutturosa,Nov 1996-Oct 1997,491,,,,,,69.25,,,83,39,,37.9,,,,Wild,,"""A population of 70–76 Mongolian gazelles (Gazella gutterosa) irregularly inhabited a part of the Tuul valley on the border of the research area. From the end of September until the beginning of May they moved together in one herd, that irregularly visited the Tuul valley..... From the beginning of May until the end of September the Mongolian gazelles lived in small groups and maximally 15 Mongolian gazelles inhabited the Tuul Valley."" Red deer calve around july. red deer more alert after october",,,2-3,,A,CNT,SAU,1,U,SYR,1,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,Horse,,Equus caballus,Nov 1994-Oct 1997,1763,,,,,,400,,,301,99,,27,,,,Livestock,None,not tended to - often not seen for weeks at a time. often die over winter due to starvation. keep females and foals close to ger from late june-october so they can milk the females.,,,2-3,,P-3-3,FARM,MAU,3,U,MYR,3,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,"Cow, Goat, and Sheep",,"Bos taurus, Capra hircus, & Ovis aries",Nov 1994-Oct 1997,17969.33333,,,,,,231.3666667,,,301,112,,30,,,,Livestock,,Sheep and goats tended by sheperd during day and sheep goats and cows spend the night near the sheperds ger.,,,2-3,,P-3-3,FARM,MAU,3,U,MYR,3,HOS05HNP,HNP,6,8,2,0,2,POP
,Hovens 2005,Hustai National Park,1200,Red deer & Mongolian gazelle,Cervus elaphus & Gazella gutterosa,Cervus elaphus & Procapra gutturosa,Nov 1994-Oct 1997,367.6666667,,,,,,69.25,,,301,66,,18,,,,Wild,,"""A population of 70–76 Mongolian gazelles (Gazella gutterosa) irregularly inhabited a part of the Tuul valley on the border of the research area. From the end of September until the beginning of May they moved together in one herd, that irregularly visited the Tuul valley..... From the beginning of May until the end of September the Mongolian gazelles lived in small groups and maximally 15 Mongolian gazelles inhabited the Tuul Valley."" Red deer calve around july. red deer more alert after october",,,2-3,,P-3-3,CNT,MAU,3,U,MYR,3,HOS05HNP,HNP,6,8,2,0,2,POP
"density used here is end of may 1995, beginning of june 1996, and end of may 1997",Hovens 2005,Hustai National Park,1200,Horse,,Equus caballus,Summer (1 June-1 Sept) 1994-1997,1963.666667,,,,,,400,,,45,21,,28,,,,Livestock,None,not tended to - often not seen for weeks at a time. often die over winter due to starvation. keep females and foals close to ger from late june-october so they can milk the females.,,,2-3,,P-3-3,FARM,MSU,3,U,MYR,3,HOS05HNP,HNP,4,8,2,0,2,POP
"density used here is end of may 1995, beginning of june 1996, and end of may 1997",Hovens 2005,Hustai National Park,1200,Sheep,,Ovis aries,Summer (1 June-1 Sept) 1994-1997,13010.66667,,,,,,34.2,,,45,12,,16,,,,Livestock,Partguard,tended by sheperd during day and spend the night near the sheperds ger.,,,2-3,,P-3-3,FARM,MSU,3,U,MYR,3,HOS05HNP,HNP,4,8,2,0,2,POP
"density used here is end of may 1995, beginning of june 1996, and end of may 1997",Hovens 2005,Hustai National Park,1200,Cow & goat,,Bos taurus & Capra hircus,Summer (1 June-1 Sept) 1994-1997,5593,,,,,,329.95,,,45,7,,9.333333333,,,,Livestock,,goats tended by sheperd during day and both goats and cows spend the night near the sheperds ger.,,,2-3,,P-3-3,FARM,MSU,3,U,MYR,3,HOS05HNP,HNP,4,8,2,0,2,POP
"density used here is end of aug 1995, beginning of sept 1996, and beginning of sept 1997",Hovens 2005,Hustai National Park,1200,Horse,,Equus caballus,Winter/Spring (1 Sept-1 June) 1994-1997,1903.333333,,,,,,400,,,195,63,,26.58227848,,,,Livestock,None,not tended to - often not seen for weeks at a time. often die over winter due to starvation. keep females and foals close to ger from late june-october so they can milk the females.,,,2-3,,P-3-3,FARM,MAU,3,U,MYR,3,HOS05HNP,HNP,4,8,2,0,2,POP
"density used here is end of aug 1995, beginning of sept 1996, and beginning of sept 1997",Hovens 2005,Hustai National Park,1200,Sheep,,Ovis aries,Winter/Spring (1 Sept-1 June) 1994-1997,12310,,,,,,34.2,,,195,33,,13.92405063,,,,Livestock,Partguard,tended by sheperd during day and spend the night near the sheperds ger.,,,2-3,,P-3-3,FARM,MAU,3,U,MYR,3,HOS05HNP,HNP,4,8,2,0,2,POP
"density used here is end of aug 1995, beginning of sept 1996, and beginning of sept 1997",Hovens 2005,Hustai National Park,1200,Cow & goat,,Bos taurus & Capra hircus,Winter/Spring (1 Sept-1 June) 1994-1997,5766,,,,,,329.95,,,195,38,,16.03375527,,,,Livestock,,goats tended by sheperd during day and both goats and cows spend the night near the sheperds ger.,,,2-3,,P-3-3,FARM,MAU,3,U,MYR,3,HOS05HNP,HNP,4,8,2,0,2,POP
Spray pack territory is the southern third of the study area,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Elk,Cervus elaphus,Cervus elaphus,Winter 1988/89 and 1989/90,258,,,3.51818182,226.5620155,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,240,,,206,,,,,618.2,0.85,Wild,Antler,"High habitat overlap with wolves. herd size of 10.3. Southern half of Bow Valley is an important wintering area for elk. ""rarely defend themselves actively (Carbyn 1974), but frequently seek refuge in deep water"". May be more detectable to wolves since they are larger, in larger herds, and more frequently occupy more open areas. Flee from wolves.",,Spray,,,U,AS,WI,U,TRCK,MWI,2,HUD93BVB,BVB,5,6,,,,PT
Includes both white-tailed and mule deer,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Deer,Odocoileus hemionus and Odocoileus virginianus,Odocoileus hemionus and Odocoileus virginianus,Winter 1988/89 and 1989/90,85,,,1.15909091,59.97647059,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,79.4,,,206,,,,,75.2,0.103,Wild,Antler,"Includes both white-tailed and mule deer. High habitat overlap with wolves. herd size of 2.5. Mean herd size of 2.5. Southern half of Bow Valley is an important wintering area for mule deer and white tailed deer. May be less detectable to wolves than elk since they are smaller, in smaller herds, and more frequently occupy more wooded and less open areas . Flee from wolves.",,Spray,,,P-1-2,PC,SWI,1,TRCK,MWI,2,HUD93BVB,BVB,5,6,,,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Moose,Alces alces,Alces alces,Winter 1988/89 and 1989/90,14,,,0.190909091,276.6428571,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,481,,,206,,,,,0,0,Wild,Antler,"Herd size of 2. ""However, known prey defensive behaviour suggests that moose are the only species in the BNP system that pose a substantial danger. Moose often defend themselves against wolves by means of foreleg kicks"". Do not always flee",,Spray,,,P-1-2,PC,SWI,1,TRCK,MWI,2,HUD93BVB,BVB,5,6,,,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Bighorn sheep,Ovis canadensis,Ovis canadensis,Winter 1988/89 and 1989/90,145,,,1.977272728,77.49655172,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,74.6,,,206,,,,,20.2,0.028,Wild,Refuge,Low habitat overlap with wolves. Herd size of 8.3. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Spray,,,U,AS,WI,U,TRCK,MWI,2,HUD93BVB,BVB,5,6,,,,PT
